DATE,systemova_odchylka,kladne_odchylky,zaporne_odchylky,pretoky_ps_ds,kurz_cnb,cena_kladne_kc,cena_zaporne_kc,cena_kladne_eur,cena_zaporne_eur,index_ote,referencni_cena_ncg,mesicni_vyrovnavaci_cena,vyrovnavaci_akce_tso,vyrovnavaci_sluzba_tso,flexibilita_akumulace,soucet_vyrovnavacich_mnozstvi,soucet_alokaci_flexibility,spotreba_cr,uroven_flexibility
2016-07-01,-2186.617,1368.808,-3555.425,-102675.13,27.095,395.54,412.03,14.6,15.21,14.896,14.15,398.9,,,36600.076,-960.858,-1222.231,-115142.565,
2016-07-02,186.197,3128.79,-2942.593,-83977.0,27.095,388.47,404.36,14.34,14.92,14.631,0.0,398.9,,,36400.665,-996.335,-43.172,-87263.072,
2016-07-03,5158.578,6829.452,-1670.874,-86063.989,27.095,384.05,400.57,14.17,14.78,14.494,0.0,398.9,,,36055.77,-993.028,6105.969,-90061.524,
2016-07-04,3059.943,6417.783,-3357.84,-93777.679,27.095,419.49,437.16,15.48,16.13,15.818,14.27,398.9,,,36059.452,79.071,9104.379,-96500.252,
2016-07-05,-64.681,3623.428,-3688.109,-84307.679,27.095,384.68,400.38,14.2,14.78,14.487,14.46,398.9,,,36059.343,49.697,9006.932,-87706.33,
2016-07-06,-2154.301,2490.091,-4644.392,-91035.655,27.095,380.51,396.38,14.04,14.63,14.33,14.32,398.9,,,36059.482,-257.002,7094.702,-95696.456,
2016-07-07,-3657.021,1623.268,-5280.289,-104302.604,27.05,384.59,400.87,14.22,14.82,14.508,14.18,398.9,,,36047.581,-140.464,3571.723,-107412.582,
2016-07-08,-5526.603,2124.156,-7650.759,-97291.395,27.03,380.04,396.44,14.06,14.67,14.347,14.38,398.9,,,36052.19,406.593,-2503.586,-100113.908,
2016-07-09,3824.448,4633.272,-808.824,-83269.799,27.03,375.21,391.14,13.88,14.47,14.187,0.0,398.9,,,36053.175,4.107,1324.559,-86423.962,
2016-07-10,1309.568,2929.774,-1620.206,-82715.586,27.03,376.32,391.89,13.92,14.5,14.214,0.0,398.9,,,36074.096,0.0,2624.008,-87647.286,
2016-07-11,-2038.024,1070.582,-3108.606,-98981.421,27.035,380.54,396.39,14.08,14.66,14.363,14.17,398.9,,,36919.718,0.0,577.956,-117801.359,
2016-07-12,1286.834,5095.402,-3808.568,-101337.948,27.035,395.03,411.37,14.61,15.22,14.918,14.1,398.9,,,37179.42,-0.642,1890.056,-125729.991,
2016-07-13,474.582,4352.105,-3877.523,-102873.052,27.035,406.16,422.82,15.02,15.64,15.333,14.34,398.9,,,37517.034,0.0,2378.426,-136545.644,
2016-07-14,-6199.576,2531.902,-8731.478,-109106.816,27.04,398.34,415.61,14.73,15.37,15.032,14.43,398.9,,,37320.574,0.0,-3797.917,-136763.97,
2016-07-15,4247.732,9814.769,-5567.037,-106632.433,27.03,386.54,403.03,14.3,14.91,14.618,14.45,398.9,,,36649.469,-160.0,652.591,-117795.59,
2016-07-16,-1155.172,4848.974,-6004.146,-88642.304,27.03,384.92,400.81,14.24,14.83,14.531,0.0,398.9,,,36077.661,-1.487,-465.655,-91415.833,
2016-07-17,-2505.611,2257.98,-4763.591,-87597.222,27.03,385.26,401.38,14.25,14.85,14.544,0.0,398.9,,,36086.424,-316.105,-2607.389,-92612.485,
2016-07-18,1498.326,6466.517,-4968.191,-103923.061,27.025,387.3,403.37,14.33,14.93,14.633,13.84,398.9,,,36113.705,-30.0,-1021.105,-107145.219,
2016-07-19,-1331.023,3187.358,-4518.381,-104937.668,27.025,393.51,409.79,14.56,15.16,14.858,14.33,398.9,,,36673.661,17.749,-2395.415,-119330.969,
2016-07-20,1982.793,3718.467,-1735.674,-103791.993,27.02,391.82,408.14,14.5,15.11,14.809,14.4,398.9,,,36148.404,0.0,-410.791,-107876.792,
2016-07-21,-991.283,3491.949,-4483.232,-101444.069,27.025,410.35,427.27,15.18,15.81,15.494,14.59,398.9,,,37268.308,-1.789,-1401.593,-128042.463,
