DATE,flex_mnozstvi_+,flex_obchod_+,flex_cena_+,flex_mnozstvi_-,flex_obchod_-,flex_cena_-
2016-07-01,38954.692,0.0,0.0,-35664.364,-184.992,0.05
2016-07-02,37612.267,0.0,0.0,-36555.585,-70.0,0.01
2016-07-03,31064.962,0.0,0.0,-42366.098,-137.595,0.01
2016-07-04,27354.955,234.411,0.01,-45526.25,-250.0,0.01
2016-07-05,27410.582,78.431,0.01,-45532.25,-204.413,0.01
2016-07-06,29510.604,171.105,0.01,-43440.867,-232.394,0.01
2016-07-07,32706.794,80.62,0.01,-39940.237,-273.925,0.01
2016-07-08,38606.235,4.107,0.01,-34254.132,-252.686,0.01
2016-07-09,34744.187,0.0,0.0,-37663.393,-266.019,0.01
2016-07-10,33557.137,203.573,0.01,-39010.857,-334.13,0.01
2016-07-11,36409.0,200.0,0.01,-37951.924,-508.575,0.01
2016-07-12,35352.254,150.0,0.01,-39613.833,-571.066,0.01
2016-07-13,35124.271,70.0,0.01,-40379.876,-520.708,0.01
2016-07-14,41113.051,29.0,0.01,-35267.714,-1792.407,0.01
2016-07-15,36108.143,0.0,0.0,-37646.211,-392.886,0.01
2016-07-16,36487.581,0.0,0.0,-35955.607,-422.784,0.01
2016-07-17,38950.486,0.0,0.0,-33910.385,-490.782,0.01
2016-07-18,37165.497,33.171,0.01,-35288.187,-265.698,0.01
2016-07-19,39054.661,0.0,0.0,-34573.943,-344.508,0.01
2016-07-20,36683.666,151.658,0.01,-36024.389,-362.514,0.01
2016-07-21,38639.718,0.0,0.0,-36073.344,-279.657,0.01
2016-07-22,44698.116,0.0,0.0,-28024.534,-176.328,0.01
2016-07-23,36039.222,0.0,0.0,-36234.709,-176.809,0.01
2016-07-24,30554.563,337.86,0.01,-42073.89,-219.827,0.01
2016-07-25,26574.985,0.0,0.0,-46777.447,-207.558,0.01
2016-07-26,28379.019,38.309,0.01,-44940.069,-125.181,0.01
2016-07-27,36275.595,140.978,0.01,-37158.02,-76.911,0.01
2016-07-28,36937.45,244.341,0.01,-35581.198,-63.42,0.01
2016-07-29,40703.832,144.53,0.01,-31619.717,-144.438,0.01
2016-07-30,33333.222,160.93,0.01,-39111.894,-238.291,0.01
2016-07-31,27619.133,174.334,0.01,-44865.262,-250.25,0.01
2016-08-01,27545.904,7161.024,0.02,-51694.731,0.0,0.0
2016-08-02,31880.834,1767.293,0.01,-50955.681,0.0,0.0
2016-08-03,41187.589,1826.669,0.01,-32696.611,0.0,0.0
2016-08-04,40400.355,624.255,0.01,-32517.692,0.0,0.0
2016-08-05,51742.312,2494.013,0.01,-29198.083,-5388.0,0.1
2016-08-06,42358.831,800.88,0.01,-34968.578,-2688.0,0.01
2016-08-07,35247.821,1051.923,0.01,-37905.067,0.0,0.0
2016-08-08,36478.796,1232.109,0.01,-37373.857,0.0,0.0
