date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-01-02,-265.0446,5919.2754,-537.89667,-672.8918,7225.6665,,1222.7297,2531.52,154.08333
2010-01-03,-336.57376,6141.703,-572.64044,-659.6554,6405.25,,620.25525,1340.4299,474.54166
2010-01-04,-380.62378,6318.7207,-585.9842,-691.4258,6125.4585,,527.90753,1074.5099,1025.3334
2010-01-05,-395.46335,6441.3657,-579.2071,-718.616,7401.4165,,614.35443,1361.955,525.4583
2010-01-06,-348.53625,6651.944,-499.06335,-624.64716,7027.25,,349.76266,805.72504,264.91666
2010-01-07,-482.65085,6239.011,-699.0904,-801.5547,6476.25,,516.89435,1018.9199,1395.25
2010-01-08,-361.88208,6766.641,-493.77795,-779.66675,7698.6665,,1322.9214,2643.2249,12.666667
2010-01-09,-255.83418,6999.31,-354.17374,-600.0206,7681.0,,929.4892,1853.8351,65.833336
2010-01-10,-266.99667,7030.521,-360.73837,-567.79694,7650.2085,,622.0659,1294.755,29.333334
2010-01-11,-555.54877,6887.5386,-667.8696,-847.8916,6428.875,,350.66086,682.95,670.8333
2010-01-12,-606.1154,6950.4062,-708.24457,-934.251,6221.375,,574.1743,1130.0549,778.7083
2010-01-13,-351.11337,6970.3496,-453.14255,-679.8962,7090.0,,741.903,1538.9698,569.5
2010-01-14,-268.65085,6921.625,-379.1654,-599.80865,7094.9165,,808.3874,1603.3649,496.70834
2010-01-15,-332.59875,7008.873,-429.91125,-632.09503,7078.5,,557.69916,1088.205,644.4583
2010-01-16,-327.25085,6856.054,-446.8175,-699.6441,5994.0835,,1044.9048,2084.445,1382.5416
2010-01-17,-119.661255,6986.857,-221.96333,-483.35574,7651.1665,,1165.9401,2443.2898,48.791668
2010-01-18,-28.007082,7165.4937,-105.15084,-287.84427,6535.6665,,556.13074,1216.0951,492.58334
2010-01-19,-79.5175,7279.267,-139.69041,-316.77652,6397.5835,,371.3031,727.05,898.875
2010-01-20,-367.23837,6992.4595,-465.7029,-683.55695,6325.6665,,667.19586,1357.455,933.7083
2010-01-21,-738.67163,6576.5664,-893.1863,-1077.9119,6221.6665,,559.0448,1084.455,907.5
2010-01-22,-895.7612,6499.0376,-1059.1737,-1247.6337,4011.6667,,565.17926,1108.785,2203.6667
2010-01-23,-949.2258,6618.8433,-1093.8883,-1293.2584,4221.4585,,500.28076,1040.595,2650.8333
2010-01-24,-764.2383,6537.0938,-923.9384,-1144.0997,7291.875,,823.37274,1718.5948,1117.7084
2010-01-25,-610.17377,6344.5923,-803.5259,-986.91534,7595.2085,,854.16156,1786.0499,1057.25
2010-01-26,-912.01337,6114.4956,-1133.8842,-1278.4827,2533.625,,648.5317,1319.91,2682.0417
2010-01-27,-910.1154,5706.101,-1198.7509,-1332.0739,6285.8335,,1006.4009,1927.3647,2989.4583
2010-01-28,-203.00084,6367.487,-399.82376,-651.7228,6435.5835,,1600.7743,3337.3953,898.625
2010-01-29,-142.41959,6507.9507,-318.47583,-544.43933,7557.125,,1344.8087,2680.1248,947.625
2010-01-30,-337.8175,6436.135,-524.2967,-702.81647,5538.5,,943.65753,1901.7001,2294.0417
2010-01-31,-574.63837,6582.4727,-732.93,-924.721,5831.2085,,708.72406,1445.835,1805.5834
2010-02-01,-449.0717,6355.254,-645.3092,-831.21564,6047.4585,,981.04425,1993.89,2016.9166
2010-02-02,-256.23624,6122.779,-495.09668,-691.81104,6645.0,,1447.7477,2927.7148,2533.3333
2010-02-03,-227.75293,6770.2397,-363.23624,-567.9249,3723.625,,899.6757,1991.685,1554.4166
2010-02-04,-241.24042,6830.7656,-367.54456,-576.236,6871.7915,,859.4998,1722.7201,2576.8333
2010-02-05,-35.704998,6824.595,-164.95291,-372.9109,7584.0415,,1030.1959,2167.065,663.0833
2010-02-06,-211.25084,6832.3257,-336.8217,-525.8374,5393.9585,,746.3592,1470.39,1492.5
2010-02-07,-617.4967,6516.178,-784.20294,-986.53394,6745.7915,,808.69025,1656.945,996.375
