y_test,y_pred,date,day_of_week_char
85494.766,93333.805,2024-09-01,Su
117422.765,115528.836,2024-09-02,Mo
125749.499,119214.055,2024-09-03,Tu
120643.793,126329.74,2024-09-04,We
100635.943,120651.94,2024-09-05,Th
105889.875,105388.91,2024-09-06,Fr
87622.445,82161.62,2024-09-07,Sa
91291.576,94997.6,2024-09-08,Su
127876.935,138865.95,2024-09-09,Mo
108179.99,131018.47,2024-09-10,Tu
107425.449,123444.73,2024-09-11,We
127116.066,133647.4,2024-09-12,Th
127498.018,128508.64,2024-09-13,Fr
117662.835,112792.44,2024-09-14,Sa
129232.106,130678.32,2024-09-15,Su
164316.251,155742.89,2024-09-16,Mo
142838.976,163826.22,2024-09-17,Tu
127658.071,142076.06,2024-09-18,We
135875.566,135060.44,2024-09-19,Th
120128.282,130441.17,2024-09-20,Fr
101550.969,97627.6,2024-09-21,Sa
113383.346,104704.62,2024-09-22,Su
139459.798,138527.38,2024-09-23,Mo
133318.063,150632.05,2024-09-24,Tu
125767.735,134173.55,2024-09-25,We
127402.512,128814.93,2024-09-26,Th
134220.993,120289.18,2024-09-27,Fr
120162.178,127740.64,2024-09-28,Sa
141363.482,161457.77,2024-09-29,Su
175831.817,191153.45,2024-09-30,Mo
186798.529,188551.0,2024-10-01,Tu
203017.585,205076.47,2024-10-02,We
201416.8,206725.05,2024-10-03,Th
207305.396,205242.94,2024-10-04,Fr
171522.449,186134.11,2024-10-05,Sa
177729.768,193792.97,2024-10-06,Su
203991.034,206962.28,2024-10-07,Mo
192372.835,188152.55,2024-10-08,Tu
177566.651,188444.23,2024-10-09,We
165295.302,188665.88,2024-10-10,Th
182627.003,191695.23,2024-10-11,Fr
166971.14,170499.05,2024-10-12,Sa
179667.193,191548.02,2024-10-13,Su
222993.784,230429.66,2024-10-14,Mo
228254.902,245810.5,2024-10-15,Tu
215828.374,234694.33,2024-10-16,We
207559.309,216108.56,2024-10-17,Th
185717.627,195206.97,2024-10-18,Fr
167041.234,174767.16,2024-10-19,Sa
178825.221,184677.86,2024-10-20,Su
216222.622,224027.45,2024-10-21,Mo
221348.341,223837.6,2024-10-22,Tu
226716.312,240751.5,2024-10-23,We
216918.574,217171.8,2024-10-24,Th
203137.063,212908.95,2024-10-25,Fr
171769.017,175851.16,2024-10-26,Sa
165290.6,179020.92,2024-10-27,Su
184101.007,194542.25,2024-10-28,Mo
216530.88,200889.06,2024-10-29,Tu
218012.723,227107.03,2024-10-30,We
200640.543,232226.31,2024-10-31,Th
201118.457,195864.36,2024-11-01,Fr
213025.612,205128.34,2024-11-02,Sa
237447.857,225976.94,2024-11-03,Su
302801.993,285769.44,2024-11-04,Mo
304626.73,312377.4,2024-11-05,Tu
313316.693,311481.03,2024-11-06,We
304297.195,317960.7,2024-11-07,Th
296577.739,308216.94,2024-11-08,Fr
267007.647,274932.53,2024-11-09,Sa
297896.826,309136.53,2024-11-10,Su
359013.03,367086.1,2024-11-11,Mo
379653.07,374076.75,2024-11-12,Tu
369510.06,381212.72,2024-11-13,We
347298.446,352901.28,2024-11-14,Th
307179.265,326975.94,2024-11-15,Fr
255629.284,280221.9,2024-11-16,Sa
293519.917,280391.6,2024-11-17,Su
339814.73,345402.22,2024-11-18,Mo
321157.711,322542.9,2024-11-19,Tu
352139.516,368386.22,2024-11-20,We
368178.297,377666.38,2024-11-21,Th
365830.393,371803.03,2024-11-22,Fr
314902.775,335065.06,2024-11-23,Sa
315342.541,308351.12,2024-11-24,Su
334883.775,357747.7,2024-11-25,Mo
