y_test,y_pred,date
117795.59,127985.26,2016-07-15
107145.219,124218.375,2016-07-18
128042.463,113664.92,2016-07-21
99349.019,113595.695,2016-07-22
94380.986,106770.5,2016-08-01
82452.55,90506.17,2016-08-20
93668.246,96831.664,2016-08-21
89866.945,91681.195,2016-08-28
141744.922,141616.75,2016-08-30
146620.864,138838.11,2016-08-31
146802.527,136458.27,2016-09-05
89572.005,99313.81,2016-09-10
149109.307,145096.84,2016-09-15
119784.103,114358.4,2016-09-17
123694.733,140474.92,2016-09-24
146378.882,136906.7,2016-10-01
235325.912,240000.89,2016-10-04
297702.948,279079.94,2016-10-06
298800.506,304706.0,2016-10-10
221319.897,259874.38,2016-10-15
251092.269,247167.94,2016-10-23
258763.156,278776.7,2016-10-27
257805.717,250995.28,2016-10-30
268338.664,291557.75,2016-11-01
354113.081,360544.25,2016-11-07
387761.989,369200.94,2016-11-08
398917.021,396559.16,2016-11-09
282937.839,290879.1,2016-11-26
440966.093,454419.4,2016-11-29
451006.637,441387.84,2016-11-30
419212.263,428589.8,2016-12-01
470512.957,484025.1,2016-12-06
432749.706,430517.22,2016-12-14
435988.34,433344.84,2016-12-15
445331.325,450551.53,2016-12-19
460875.762,445838.84,2016-12-22
393303.616,371094.78,2016-12-31
505614.886,498591.2,2017-01-05
555304.398,558931.9,2017-01-10
540573.122,540185.4,2017-01-11
464879.354,472274.53,2017-01-12
519506.447,529047.4,2017-01-17
585578.134,578609.75,2017-01-19
493155.36,496129.78,2017-01-21
482987.065,488518.78,2017-01-22
542533.026,541708.0,2017-01-23
487634.533,507112.56,2017-02-01
426738.937,420493.8,2017-02-03
430525.389,429393.94,2017-02-06
495453.865,482554.4,2017-02-08
392906.69,381225.66,2017-02-17
342270.534,341862.25,2017-02-21
308104.421,294350.88,2017-03-03
259722.605,249164.0,2017-03-19
250394.752,246483.55,2017-03-21
314088.772,270824.12,2017-03-22
280707.273,283534.75,2017-03-23
266350.382,266770.9,2017-03-27
203721.586,197887.58,2017-03-30
140620.004,146344.47,2017-04-01
227241.703,216759.11,2017-04-04
250091.51,238127.08,2017-04-07
199223.494,196349.69,2017-04-08
231833.656,224468.77,2017-04-12
242560.117,257815.97,2017-04-17
274055.006,283528.34,2017-04-21
236879.33,222679.97,2017-04-25
307626.853,301474.44,2017-04-27
200565.454,225623.7,2017-04-30
221182.005,217354.28,2017-05-02
193443.945,195239.14,2017-05-04
143232.469,146307.67,2017-05-07
172053.084,165820.52,2017-05-08
149318.125,161022.7,2017-05-12
115261.948,139280.48,2017-05-30
110700.932,110523.54,2017-06-09
120864.54,126349.16,2017-06-12
108523.473,114777.6,2017-06-16
96613.939,89423.75,2017-06-17
100819.621,95408.37,2017-06-18
146729.053,130114.74,2017-06-19
137554.769,137312.88,2017-06-22
128196.406,132462.27,2017-06-23
132611.192,134233.72,2017-06-29
115804.428,111858.09,2017-07-06
145178.948,140566.61,2017-07-12
138577.02,137027.97,2017-07-14
139080.333,140602.66,2017-07-20
91435.974,92667.27,2017-08-13
90514.127,94496.84,2017-08-27
126488.842,149764.92,2017-09-06
164891.193,155173.28,2017-09-17
217481.394,199126.2,2017-09-18
218430.68,213876.75,2017-09-22
182975.889,181653.42,2017-09-24
218967.572,201533.23,2017-09-25
215724.023,199732.23,2017-09-26
192786.256,195099.05,2017-10-02
208139.64,214167.78,2017-10-04
208600.953,201299.72,2017-10-16
269923.642,259578.34,2017-10-23
293508.702,279455.44,2017-11-02
302694.731,291551.4,2017-11-03
329860.511,321799.56,2017-11-07
340404.5,325994.88,2017-11-08
302838.289,305398.47,2017-11-10
296752.43,307118.34,2017-11-25
375803.006,397070.44,2017-12-02
466866.504,453542.53,2017-12-19
291947.494,309296.1,2017-12-25
329618.153,329418.94,2017-12-27
339223.391,312545.84,2017-12-30
354613.093,367858.12,2018-01-04
280976.231,285737.66,2018-01-06
314063.046,311249.06,2018-01-07
364005.38,353707.12,2018-01-08
377160.361,373924.8,2018-01-11
415049.58,433918.8,2018-01-17
407392.273,410677.78,2018-01-18
417441.995,422038.22,2018-01-23
