model,train,MAE,RMSE,Mean Error,R-squared,Model Score
XGBoost,no,10298.4299375,12794.347398270065,7172.193581395345,0.9749469195333964,0.9749469195333964
XGBoost,grid_search,10231.625132267443,12395.523343880008,6432.384533430229,0.9764844797699579,0.9764844797699579
XGBoost,hyperopt,9803.487127906976,11847.175964389406,6379.591965116276,0.978518998081337,NaN
XGBoost,zellij_GA,11144.010499999999,14480.226220299011,6237.132895348835,0.967909569048252,NaN
XGBoost,zellij_SA,11138.668558139532,14475.5859214595,6229.494813953485,0.9679301329990767,NaN
XGBoost,zellij_BO,10058.449697674418,12141.272560200274,6684.990395348833,0.9774392634928721,NaN
XGBoost,zellij_CO_Kent,9727.756359738372,12010.152740602058,6072.240365552323,0.9779239221389123,0.9779239221389123
XGBoost,zellij_CO_Henon,10366.028091569768,12419.056116578246,7417.757171511625,0.976395107070588,0.976395107070588
XGBoost,zellij_CO_Logistic,9934.024899709302,12621.080649794387,6043.878537790695,0.9756208847914891,0.9756208847914891
XGBoost,zellij_CO_Tent,10344.027449854651,12793.64070982823,6649.535605377903,0.97494968704203,0.97494968704203
XGBoost,zellij_CO_Random,10742.191778343024,12785.776055704591,8024.153519622089,0.9749804760092698,0.9749804760092698
XGBoost,zellij_CO_Henon,9991.193159883722,11905.230012508791,6554.246088662787,0.9783079579871364,0.9783079579871364
XGBoost,zellij_CO_Kent,10271.552528343023,12231.657622776806,7082.1635123546475,0.9771021087578295,0.9771021087578295
