y_test,y_pred,date,day_of_week_char
85494.766,94784.836,2024-09-01,Su
117422.765,118415.7,2024-09-02,Mo
125749.499,120196.11,2024-09-03,Tu
120643.793,128308.66,2024-09-04,We
100635.943,123437.81,2024-09-05,Th
105889.875,104853.83,2024-09-06,Fr
87622.445,83480.85,2024-09-07,Sa
91291.576,95212.945,2024-09-08,Su
127876.935,138847.55,2024-09-09,Mo
108179.99,129641.62,2024-09-10,Tu
107425.449,123604.836,2024-09-11,We
127116.066,136131.23,2024-09-12,Th
127498.018,131796.67,2024-09-13,Fr
117662.835,110209.07,2024-09-14,Sa
129232.106,126009.23,2024-09-15,Su
164316.251,151902.45,2024-09-16,Mo
142838.976,161448.06,2024-09-17,Tu
127658.071,140447.05,2024-09-18,We
135875.566,131079.03,2024-09-19,Th
120128.282,130725.26,2024-09-20,Fr
101550.969,97045.22,2024-09-21,Sa
113383.346,105571.17,2024-09-22,Su
139459.798,139324.38,2024-09-23,Mo
133318.063,146126.19,2024-09-24,Tu
125767.735,129714.43,2024-09-25,We
127402.512,129527.32,2024-09-26,Th
134220.993,116509.04,2024-09-27,Fr
120162.178,124221.13,2024-09-28,Sa
141363.482,144583.47,2024-09-29,Su
175831.817,195216.42,2024-09-30,Mo
186798.529,186618.27,2024-10-01,Tu
203017.585,210105.3,2024-10-02,We
201416.8,210016.3,2024-10-03,Th
207305.396,211075.84,2024-10-04,Fr
171522.449,193103.89,2024-10-05,Sa
177729.768,198228.25,2024-10-06,Su
203991.034,204441.45,2024-10-07,Mo
192372.835,184536.14,2024-10-08,Tu
177566.651,187170.73,2024-10-09,We
165295.302,187047.39,2024-10-10,Th
182627.003,193064.89,2024-10-11,Fr
166971.14,177765.78,2024-10-12,Sa
179667.193,191122.25,2024-10-13,Su
222993.784,233453.86,2024-10-14,Mo
228254.902,244592.73,2024-10-15,Tu
215828.374,230149.6,2024-10-16,We
207559.309,220139.05,2024-10-17,Th
185717.627,191335.34,2024-10-18,Fr
167041.234,174986.53,2024-10-19,Sa
178825.221,186715.05,2024-10-20,Su
216222.622,217584.17,2024-10-21,Mo
221348.341,224600.23,2024-10-22,Tu
226716.312,242332.8,2024-10-23,We
216918.574,220440.55,2024-10-24,Th
203137.063,212577.58,2024-10-25,Fr
171769.017,171186.23,2024-10-26,Sa
165290.6,177606.16,2024-10-27,Su
184101.007,197636.98,2024-10-28,Mo
216530.88,199948.89,2024-10-29,Tu
218012.723,230686.61,2024-10-30,We
200640.543,238762.61,2024-10-31,Th
201118.457,202452.72,2024-11-01,Fr
213025.612,207129.25,2024-11-02,Sa
237447.857,226722.0,2024-11-03,Su
302801.993,287340.12,2024-11-04,Mo
304626.73,312913.94,2024-11-05,Tu
313316.693,306905.56,2024-11-06,We
304297.195,316752.72,2024-11-07,Th
296577.739,310394.34,2024-11-08,Fr
267007.647,276152.0,2024-11-09,Sa
297896.826,301189.9,2024-11-10,Su
359013.03,367531.06,2024-11-11,Mo
379653.07,371048.06,2024-11-12,Tu
369510.06,379924.06,2024-11-13,We
347298.446,353019.56,2024-11-14,Th
307179.265,326227.44,2024-11-15,Fr
255629.284,283389.6,2024-11-16,Sa
293519.917,276367.7,2024-11-17,Su
339814.73,350190.97,2024-11-18,Mo
321157.711,331349.6,2024-11-19,Tu
352139.516,362737.62,2024-11-20,We
368178.297,371411.03,2024-11-21,Th
365830.393,377008.28,2024-11-22,Fr
314902.775,339639.12,2024-11-23,Sa
315342.541,310192.7,2024-11-24,Su
334883.775,356172.2,2024-11-25,Mo
