model,train,MAE,RMSE,Mean Error,R-squared,Model Score
XGBoost,zellij_CO_Henon,10243.16435643733,12956.73248623239,7536.715539339236,0.9834535168969785,0.9834535168969785
XGBoost,zellij_CO_Henon,10309.534711001363,12991.10853717569,7640.572572717983,0.9833656000855585,0.9833656000855585
XGBoost,zellij_CO_Henon,9991.256733651226,12740.338346217966,7190.637776226158,0.9840015967441208,0.9840015967441208
XGBoost,zellij_CO_Henon,9922.87663147139,12653.697547883385,7291.950276226158,0.9842184514696558,0.9842184514696558
XGBoost,zellij_CO_Henon,10291.146235524524,13029.66019385135,7375.386775715258,0.9832667270462484,0.9832667270462484
XGBoost,zellij_CO_Henon,10330.435346049047,13025.198989268649,7680.616616485014,0.9832781836419129,0.9832781836419129
XGBoost,zellij_CO_Henon,10085.875142881472,12800.332469778099,7334.69659349455,0.9838505693500689,0.9838505693500689
XGBoost,zellij_CO_Henon,9715.656646117166,12363.374625577728,6918.63419993188,0.9849343187685202,0.9849343187685202
XGBoost,zellij_CO_Henon,10345.766925579019,13024.869521456076,7674.844115633514,0.9832790295761031,0.9832790295761031
XGBoost,zellij_CO_Henon,10158.843198228884,12741.005915821203,7501.351076634877,0.9839999201281266,0.9839999201281266
XGBoost,zellij_CO_Kent,10317.42253695504,12998.553187001768,7561.349182050408,0.9833465296936815,0.9833465296936815
XGBoost,zellij_CO_Kent,10039.419318119892,12790.376490523793,7125.283935967303,0.9838756813335249,0.9838756813335249
XGBoost,zellij_CO_Kent,10080.517784230246,12757.232904151246,7249.5208441757495,0.9839591386630082,0.9839591386630082
XGBoost,zellij_CO_Kent,10115.23876907357,12773.531949803086,7350.949935626703,0.9839181238517136,0.9839181238517136
XGBoost,zellij_CO_Kent,10574.879796151226,13329.744054580031,7927.693996423705,0.982487089142653,0.982487089142653
XGBoost,zellij_CO_Kent,10240.779591791554,12937.045021212212,7508.09833055177,0.9835037627157318,0.9835037627157318
XGBoost,zellij_CO_Kent,10175.76347513624,12831.210869073835,7219.622321525885,0.9837725604325125,0.9837725604325125
XGBoost,zellij_CO_Kent,10197.343364782017,12869.587027339498,7352.232846049045,0.9836753477742683,0.9836753477742683
XGBoost,zellij_CO_Kent,10333.346064884197,13042.359647022451,7564.091007663487,0.983234092737738,0.983234092737738
XGBoost,zellij_CO_Kent,10211.993814884196,12883.94794299157,7379.134434094006,0.9836388947389182,0.9836388947389182
XGBoost,zellij_CO_Logistic,10029.786429495913,12604.268452850094,7325.031934945504,0.9843415054736456,0.9843415054736456
XGBoost,zellij_CO_Logistic,10284.110259366485,13010.538972529384,7572.1038652929155,0.9833158036664115,0.9833158036664115
XGBoost,zellij_CO_Logistic,9962.715213385558,12670.154638925726,7384.170367336511,0.9841773745794152,0.9841773745794152
XGBoost,zellij_CO_Logistic,10064.331691757494,12794.296511673256,7154.257624659399,0.9838657961896045,0.9838657961896045
XGBoost,zellij_CO_Logistic,10115.508371934608,12806.161551624411,7249.2705674386925,0.9838358575779484,0.9838358575779484
XGBoost,zellij_CO_Logistic,9901.032161614441,12647.803324903296,7083.680925919617,0.984233150461919,0.984233150461919
XGBoost,zellij_CO_Logistic,10436.925179836513,13145.606307425622,7866.88645640327,0.9829675956321584,0.9829675956321584
XGBoost,zellij_CO_Logistic,9990.363566927794,12831.301770421993,7165.815973603541,0.9837723305085601,0.9837723305085601
XGBoost,zellij_CO_Logistic,10514.66108821526,13384.735469691901,7425.516863419619,0.9823422932212483,0.9823422932212483
XGBoost,zellij_CO_Logistic,10312.053744720708,12959.977704997993,7554.921431709809,0.9834452272016939,0.9834452272016939
XGBoost,zellij_CO_Tent,9832.866126192099,12429.621611071601,6900.293408889645,0.9847724325601558,0.9847724325601558
XGBoost,zellij_CO_Tent,9968.674181539509,12602.16988799407,7354.443847411444,0.9843467192043541,0.9843467192043541
XGBoost,zellij_CO_Tent,10232.240063862399,12934.647446469411,7554.357441587193,0.9835098765225373,0.9835098765225373
XGBoost,zellij_CO_Tent,10148.030233651227,12851.302231466761,7474.72322411444,0.98372170215802,0.98372170215802
XGBoost,zellij_CO_Tent,10247.828914339238,12983.471470284163,7550.441697377384,0.9833851520250471,0.9833851520250471
XGBoost,zellij_CO_Tent,10352.706946696186,13165.134445678383,7699.465752213895,0.9829169538906183,0.9829169538906183
XGBoost,zellij_CO_Tent,9915.593980074933,12600.323284692451,7022.943144925068,0.9843513062369831,0.9843513062369831
