y_test,y_pred,date,day_of_week_char
85494.766,92243.234,2024-09-01,Su
117422.765,117556.766,2024-09-02,Mo
125749.499,118196.53,2024-09-03,Tu
120643.793,126156.26,2024-09-04,We
100635.943,118129.945,2024-09-05,Th
105889.875,103875.195,2024-09-06,Fr
87622.445,81999.336,2024-09-07,Sa
91291.576,92795.836,2024-09-08,Su
127876.935,136525.97,2024-09-09,Mo
108179.99,129981.31,2024-09-10,Tu
107425.449,124039.95,2024-09-11,We
127116.066,130798.625,2024-09-12,Th
127498.018,128470.375,2024-09-13,Fr
117662.835,110466.445,2024-09-14,Sa
129232.106,128193.26,2024-09-15,Su
164316.251,154497.08,2024-09-16,Mo
142838.976,165458.1,2024-09-17,Tu
127658.071,146988.23,2024-09-18,We
135875.566,135824.28,2024-09-19,Th
120128.282,127969.164,2024-09-20,Fr
101550.969,96946.25,2024-09-21,Sa
113383.346,105302.15,2024-09-22,Su
139459.798,141617.45,2024-09-23,Mo
133318.063,151553.89,2024-09-24,Tu
125767.735,136195.77,2024-09-25,We
127402.512,131106.97,2024-09-26,Th
134220.993,120814.04,2024-09-27,Fr
120162.178,124750.9,2024-09-28,Sa
141363.482,157757.36,2024-09-29,Su
175831.817,186847.69,2024-09-30,Mo
186798.529,192037.77,2024-10-01,Tu
203017.585,207958.58,2024-10-02,We
201416.8,205267.52,2024-10-03,Th
207305.396,206178.8,2024-10-04,Fr
171522.449,188723.73,2024-10-05,Sa
177729.768,198546.94,2024-10-06,Su
203991.034,207439.0,2024-10-07,Mo
192372.835,188635.8,2024-10-08,Tu
177566.651,188181.69,2024-10-09,We
165295.302,187134.73,2024-10-10,Th
182627.003,197476.66,2024-10-11,Fr
166971.14,171035.81,2024-10-12,Sa
179667.193,191304.38,2024-10-13,Su
222993.784,228837.08,2024-10-14,Mo
228254.902,246162.08,2024-10-15,Tu
215828.374,234969.89,2024-10-16,We
207559.309,216755.4,2024-10-17,Th
185717.627,197656.7,2024-10-18,Fr
167041.234,175213.03,2024-10-19,Sa
178825.221,187734.12,2024-10-20,Su
216222.622,224462.0,2024-10-21,Mo
221348.341,224729.67,2024-10-22,Tu
226716.312,241738.34,2024-10-23,We
216918.574,219177.45,2024-10-24,Th
203137.063,213531.77,2024-10-25,Fr
171769.017,177983.77,2024-10-26,Sa
165290.6,183212.6,2024-10-27,Su
184101.007,199220.6,2024-10-28,Mo
216530.88,200657.2,2024-10-29,Tu
218012.723,226853.11,2024-10-30,We
200640.543,233133.89,2024-10-31,Th
201118.457,198741.08,2024-11-01,Fr
213025.612,204064.16,2024-11-02,Sa
237447.857,228960.45,2024-11-03,Su
302801.993,293298.03,2024-11-04,Mo
304626.73,311669.66,2024-11-05,Tu
313316.693,310811.38,2024-11-06,We
304297.195,317088.75,2024-11-07,Th
296577.739,306282.5,2024-11-08,Fr
267007.647,274737.7,2024-11-09,Sa
297896.826,312149.28,2024-11-10,Su
359013.03,364375.03,2024-11-11,Mo
379653.07,373979.1,2024-11-12,Tu
369510.06,380404.22,2024-11-13,We
347298.446,353506.0,2024-11-14,Th
307179.265,329131.94,2024-11-15,Fr
255629.284,281241.2,2024-11-16,Sa
293519.917,276145.62,2024-11-17,Su
339814.73,347698.44,2024-11-18,Mo
321157.711,321764.12,2024-11-19,Tu
352139.516,365138.28,2024-11-20,We
368178.297,377475.62,2024-11-21,Th
365830.393,371788.06,2024-11-22,Fr
314902.775,334955.8,2024-11-23,Sa
315342.541,305294.2,2024-11-24,Su
334883.775,357579.56,2024-11-25,Mo
