y_test,y_pred,date,day_of_week_char
85494.766,93423.85,2024-09-01,Su
117422.765,114314.664,2024-09-02,Mo
125749.499,121700.42,2024-09-03,Tu
120643.793,132015.84,2024-09-04,We
100635.943,124849.16,2024-09-05,Th
105889.875,105816.836,2024-09-06,Fr
87622.445,89169.016,2024-09-07,Sa
91291.576,95250.28,2024-09-08,Su
127876.935,135676.67,2024-09-09,Mo
108179.99,127756.836,2024-09-10,Tu
107425.449,123128.79,2024-09-11,We
127116.066,136065.34,2024-09-12,Th
127498.018,134580.31,2024-09-13,Fr
117662.835,118097.234,2024-09-14,Sa
129232.106,125498.87,2024-09-15,Su
164316.251,161338.77,2024-09-16,Mo
142838.976,161434.25,2024-09-17,Tu
127658.071,141478.77,2024-09-18,We
135875.566,129041.49,2024-09-19,Th
120128.282,126279.32,2024-09-20,Fr
101550.969,102595.98,2024-09-21,Sa
113383.346,104825.1,2024-09-22,Su
139459.798,133938.03,2024-09-23,Mo
133318.063,148809.6,2024-09-24,Tu
125767.735,132212.3,2024-09-25,We
127402.512,124481.17,2024-09-26,Th
134220.993,118185.055,2024-09-27,Fr
120162.178,128199.66,2024-09-28,Sa
141363.482,149295.08,2024-09-29,Su
175831.817,194081.55,2024-09-30,Mo
186798.529,187848.58,2024-10-01,Tu
203017.585,207940.06,2024-10-02,We
201416.8,205541.58,2024-10-03,Th
207305.396,211478.23,2024-10-04,Fr
171522.449,196008.33,2024-10-05,Sa
177729.768,192501.88,2024-10-06,Su
203991.034,201437.58,2024-10-07,Mo
192372.835,183778.86,2024-10-08,Tu
177566.651,191298.27,2024-10-09,We
165295.302,186449.19,2024-10-10,Th
182627.003,195384.75,2024-10-11,Fr
166971.14,176661.36,2024-10-12,Sa
179667.193,183221.67,2024-10-13,Su
222993.784,227995.11,2024-10-14,Mo
228254.902,246020.02,2024-10-15,Tu
215828.374,232691.72,2024-10-16,We
207559.309,211025.14,2024-10-17,Th
185717.627,191816.92,2024-10-18,Fr
167041.234,174201.98,2024-10-19,Sa
178825.221,178591.52,2024-10-20,Su
216222.622,210460.53,2024-10-21,Mo
221348.341,223114.42,2024-10-22,Tu
226716.312,237547.2,2024-10-23,We
216918.574,217123.92,2024-10-24,Th
203137.063,211235.77,2024-10-25,Fr
171769.017,171974.84,2024-10-26,Sa
165290.6,165546.73,2024-10-27,Su
184101.007,196267.92,2024-10-28,Mo
216530.88,199366.11,2024-10-29,Tu
218012.723,226997.17,2024-10-30,We
200640.543,235523.92,2024-10-31,Th
201118.457,206424.84,2024-11-01,Fr
213025.612,210710.12,2024-11-02,Sa
237447.857,219156.06,2024-11-03,Su
302801.993,282372.16,2024-11-04,Mo
304626.73,316904.0,2024-11-05,Tu
313316.693,312439.56,2024-11-06,We
304297.195,324699.12,2024-11-07,Th
296577.739,308865.44,2024-11-08,Fr
267007.647,278043.3,2024-11-09,Sa
297896.826,305133.1,2024-11-10,Su
359013.03,367036.44,2024-11-11,Mo
379653.07,373010.97,2024-11-12,Tu
369510.06,385025.56,2024-11-13,We
347298.446,350111.66,2024-11-14,Th
307179.265,319741.78,2024-11-15,Fr
255629.284,283999.5,2024-11-16,Sa
293519.917,275004.84,2024-11-17,Su
339814.73,350606.03,2024-11-18,Mo
321157.711,328389.94,2024-11-19,Tu
352139.516,353634.2,2024-11-20,We
368178.297,363349.1,2024-11-21,Th
365830.393,380485.75,2024-11-22,Fr
314902.775,347755.66,2024-11-23,Sa
315342.541,304987.3,2024-11-24,Su
334883.775,361562.62,2024-11-25,Mo
