y_test,y_pred,date,day_of_week_char
290576.636,307739.78,2023-11-25,Sa
313250.073,333694.4,2023-11-26,Su
338293.901,360610.9,2023-11-27,Mo
377420.877,381015.7,2023-11-28,Tu
395673.261,406746.44,2023-11-29,We
392004.19,411558.9,2023-11-30,Th
379180.487,400615.44,2023-12-01,Fr
366708.24,375285.56,2023-12-02,Sa
370272.783,405187.53,2023-12-03,Su
433817.482,446095.2,2023-12-04,Mo
419237.392,442681.22,2023-12-05,Tu
405861.207,422534.56,2023-12-06,We
396702.119,429784.75,2023-12-07,Th
365010.837,398440.47,2023-12-08,Fr
326781.975,348343.0,2023-12-09,Sa
318931.461,320096.62,2023-12-10,Su
323981.903,336184.53,2023-12-11,Mo
329533.191,327555.88,2023-12-12,Tu
323922.763,339782.47,2023-12-13,We
326937.781,330050.5,2023-12-14,Th
306619.553,342909.38,2023-12-15,Fr
274208.809,291979.2,2023-12-16,Sa
283194.081,286900.62,2023-12-17,Su
310072.445,316681.4,2023-12-18,Mo
302823.456,320303.38,2023-12-19,Tu
301953.574,319423.66,2023-12-20,We
287336.384,299423.22,2023-12-21,Th
288377.652,303822.34,2023-12-22,Fr
276478.893,281544.22,2023-12-23,Sa
237292.998,250888.55,2023-12-24,Su
213031.878,222738.75,2023-12-25,Mo
220299.037,232058.27,2023-12-26,Tu
244351.972,251261.88,2023-12-27,We
245754.337,237152.88,2023-12-28,Th
229965.275,230086.83,2023-12-29,Fr
225938.941,223998.12,2023-12-30,Sa
244595.789,247047.28,2023-12-31,Su
255349.674,268955.7,2024-01-01,Mo
296559.94,280809.84,2024-01-02,Tu
273834.61,279819.7,2024-01-03,We
299354.333,292334.03,2024-01-04,Th
311725.444,302256.88,2024-01-05,Fr
279093.091,304325.1,2024-01-06,Sa
357026.634,349940.78,2024-01-07,Su
475666.565,448717.34,2024-01-08,Mo
500724.043,518328.88,2024-01-09,Tu
491002.924,518165.5,2024-01-10,We
474758.022,491962.06,2024-01-11,Th
427178.007,470773.75,2024-01-12,Fr
364585.664,395795.7,2024-01-13,Sa
363723.657,385636.5,2024-01-14,Su
400515.29,422281.12,2024-01-15,Mo
425198.019,428990.3,2024-01-16,Tu
426455.543,430167.62,2024-01-17,We
409311.994,433497.72,2024-01-18,Th
413869.886,430642.34,2024-01-19,Fr
370963.623,388227.47,2024-01-20,Sa
382681.395,394358.62,2024-01-21,Su
406712.419,402412.5,2024-01-22,Mo
355083.632,391395.75,2024-01-23,Tu
316968.892,329999.5,2024-01-24,We
334392.472,334157.9,2024-01-25,Th
306113.136,323861.7,2024-01-26,Fr
292608.318,301473.22,2024-01-27,Sa
314237.608,315521.56,2024-01-28,Su
375693.801,357635.9,2024-01-29,Mo
374908.697,378893.06,2024-01-30,Tu
373180.647,369702.34,2024-01-31,We
355267.213,364144.94,2024-02-01,Th
308676.266,338460.66,2024-02-02,Fr
255210.764,264485.6,2024-02-03,Sa
253599.105,260413.27,2024-02-04,Su
267112.145,285255.12,2024-02-05,Mo
276911.095,287933.0,2024-02-06,Tu
313731.446,302472.56,2024-02-07,We
318511.931,304690.1,2024-02-08,Th
249770.77,280205.66,2024-02-09,Fr
210919.688,215866.64,2024-02-10,Sa
232651.324,240533.23,2024-02-11,Su
260781.673,280827.0,2024-02-12,Mo
283555.605,292373.47,2024-02-13,Tu
279676.645,281081.16,2024-02-14,We
257527.092,271779.47,2024-02-15,Th
236255.27,243232.86,2024-02-16,Fr
220343.186,231133.6,2024-02-17,Sa
229464.014,236617.62,2024-02-18,Su
265470.303,280134.1,2024-02-19,Mo
265866.359,279607.72,2024-02-20,Tu
263094.466,273655.34,2024-02-21,We
261250.23,264542.7,2024-02-22,Th
258624.102,264128.2,2024-02-23,Fr
231394.538,241558.92,2024-02-24,Sa
250480.727,252379.81,2024-02-25,Su
273896.773,291801.94,2024-02-26,Mo
273665.707,275925.97,2024-02-27,Tu
276552.811,293549.2,2024-02-28,We
266621.02,273416.94,2024-02-29,Th
255892.825,244494.72,2024-03-01,Fr
206156.757,229611.58,2024-03-02,Sa
213381.668,224576.73,2024-03-03,Su
227799.58,248947.75,2024-03-04,Mo
261200.001,267955.34,2024-03-05,Tu
270183.556,276350.84,2024-03-06,We
300231.891,303695.9,2024-03-07,Th
276131.962,291545.9,2024-03-08,Fr
236713.702,245236.4,2024-03-09,Sa
222447.451,225083.39,2024-03-10,Su
228086.577,250147.3,2024-03-11,Mo
263202.151,265454.28,2024-03-12,Tu
258514.206,255391.89,2024-03-13,We
243609.571,255069.39,2024-03-14,Th
198723.383,215211.5,2024-03-15,Fr
185147.491,198571.48,2024-03-16,Sa
217506.219,228990.05,2024-03-17,Su
293378.765,271746.9,2024-03-18,Mo
288283.334,313727.03,2024-03-19,Tu
267849.385,278363.8,2024-03-20,We
228557.891,246664.72,2024-03-21,Th
211967.929,215870.39,2024-03-22,Fr
191975.085,211832.31,2024-03-23,Sa
227040.032,236767.33,2024-03-24,Su
278478.032,270256.88,2024-03-25,Mo
232768.751,249250.61,2024-03-26,Tu
213601.159,214042.38,2024-03-27,We
203537.495,236826.55,2024-03-28,Th
160085.53,167757.72,2024-03-29,Fr
127506.085,124214.42,2024-03-30,Sa
122344.968,128557.82,2024-03-31,Su
142687.252,139206.48,2024-04-01,Mo
187597.198,170973.28,2024-04-02,Tu
195313.963,189281.08,2024-04-03,We
175038.406,192661.73,2024-04-04,Th
145212.257,158839.33,2024-04-05,Fr
107138.776,113909.25,2024-04-06,Sa
110431.913,103741.75,2024-04-07,Su
131672.831,135732.44,2024-04-08,Mo
117185.662,133157.22,2024-04-09,Tu
158517.396,156000.56,2024-04-10,We
153348.407,153088.31,2024-04-11,Th
133688.874,140033.73,2024-04-12,Fr
98784.2,101454.31,2024-04-13,Sa
112129.441,107309.46,2024-04-14,Su
150107.542,154473.17,2024-04-15,Mo
189826.205,191286.97,2024-04-16,Tu
214472.916,227070.61,2024-04-17,We
224500.123,232233.69,2024-04-18,Th
213941.04,229773.56,2024-04-19,Fr
204001.372,226723.06,2024-04-20,Sa
223211.407,235670.45,2024-04-21,Su
275791.64,274295.47,2024-04-22,Mo
265744.265,280929.1,2024-04-23,Tu
264176.26,288848.12,2024-04-24,We
250342.148,272926.94,2024-04-25,Th
202236.756,219400.73,2024-04-26,Fr
133918.293,154024.02,2024-04-27,Sa
124356.255,125572.17,2024-04-28,Su
139134.675,140400.02,2024-04-29,Mo
119816.814,138292.73,2024-04-30,Tu
102063.332,115912.56,2024-05-01,We
110804.644,115700.375,2024-05-02,Th
113309.657,112873.81,2024-05-03,Fr
93828.262,91854.72,2024-05-04,Sa
99076.675,99811.1,2024-05-05,Su
124237.642,131878.86,2024-05-06,Mo
146852.905,145675.75,2024-05-07,Tu
138242.389,149514.3,2024-05-08,We
131993.284,140246.62,2024-05-09,Th
121966.047,124488.055,2024-05-10,Fr
93746.348,100354.47,2024-05-11,Sa
98565.05,101519.125,2024-05-12,Su
113825.729,130099.836,2024-05-13,Mo
112015.691,119574.54,2024-05-14,Tu
111800.78,122609.555,2024-05-15,We
113071.323,124559.19,2024-05-16,Th
117340.263,115585.42,2024-05-17,Fr
109125.025,92272.914,2024-05-18,Sa
108801.553,109009.734,2024-05-19,Su
123645.728,135293.73,2024-05-20,Mo
117280.355,131150.19,2024-05-21,Tu
123469.265,128374.734,2024-05-22,We
126777.246,124518.484,2024-05-23,Th
119594.556,117739.91,2024-05-24,Fr
99431.846,89735.76,2024-05-25,Sa
92708.87,99817.73,2024-05-26,Su
118396.351,124976.0,2024-05-27,Mo
125404.803,131213.72,2024-05-28,Tu
120239.469,127366.836,2024-05-29,We
119139.934,126459.34,2024-05-30,Th
115611.1,113915.93,2024-05-31,Fr
86847.16,93751.36,2024-06-01,Sa
98704.742,92947.195,2024-06-02,Su
139540.944,133935.72,2024-06-03,Mo
132560.089,145807.94,2024-06-04,Tu
116855.669,126214.48,2024-06-05,We
113428.917,123784.27,2024-06-06,Th
112925.131,109353.445,2024-06-07,Fr
93450.719,85966.42,2024-06-08,Sa
93256.278,96967.63,2024-06-09,Su
118488.124,132094.55,2024-06-10,Mo
111748.63,129770.53,2024-06-11,Tu
126753.882,129209.38,2024-06-12,We
136650.496,128941.63,2024-06-13,Th
109008.315,125936.57,2024-06-14,Fr
81724.528,86707.75,2024-06-15,Sa
88978.141,89378.51,2024-06-16,Su
114266.034,122073.8,2024-06-17,Mo
110437.104,123596.54,2024-06-18,Tu
112937.847,123506.22,2024-06-19,We
131630.597,122791.24,2024-06-20,Th
92019.857,116292.87,2024-06-21,Fr
77848.093,83852.92,2024-06-22,Sa
84753.014,85714.484,2024-06-23,Su
115879.694,108747.37,2024-06-24,Mo
112034.917,123617.49,2024-06-25,Tu
119143.805,123238.586,2024-06-26,We
113745.177,124437.57,2024-06-27,Th
101510.761,108816.9,2024-06-28,Fr
75132.984,82467.375,2024-06-29,Sa
81288.134,87343.22,2024-06-30,Su
97766.326,106782.45,2024-07-01,Mo
101328.35,112604.92,2024-07-02,Tu
102237.468,114197.54,2024-07-03,We
95866.106,111200.65,2024-07-04,Th
79615.235,86877.336,2024-07-05,Fr
71512.45,70739.09,2024-07-06,Sa
80608.186,87390.22,2024-07-07,Su
96269.644,104982.414,2024-07-08,Mo
97697.745,110864.234,2024-07-09,Tu
95586.513,109754.56,2024-07-10,We
95575.734,110145.555,2024-07-11,Th
88757.619,101544.11,2024-07-12,Fr
76369.035,77177.68,2024-07-13,Sa
82000.695,81601.2,2024-07-14,Su
109643.467,111697.625,2024-07-15,Mo
124170.884,119116.14,2024-07-16,Tu
117488.098,126083.836,2024-07-17,We
96311.666,121914.5,2024-07-18,Th
88583.072,100371.98,2024-07-19,Fr
74126.308,76222.05,2024-07-20,Sa
78516.27,80771.87,2024-07-21,Su
106489.888,110144.26,2024-07-22,Mo
113906.0,111819.98,2024-07-23,Tu
109191.423,119955.1,2024-07-24,We
94105.507,118683.55,2024-07-25,Th
95837.649,96150.336,2024-07-26,Fr
79306.664,76181.91,2024-07-27,Sa
77672.249,82344.984,2024-07-28,Su
104969.026,105033.41,2024-07-29,Mo
110170.705,105716.695,2024-07-30,Tu
99540.566,110626.336,2024-07-31,We
100790.554,107512.6,2024-08-01,Th
95520.565,98862.75,2024-08-02,Fr
77918.452,75203.695,2024-08-03,Sa
78304.059,83223.34,2024-08-04,Su
105813.391,106121.305,2024-08-05,Mo
112236.633,107041.91,2024-08-06,Tu
102524.38,115875.52,2024-08-07,We
106855.352,111290.12,2024-08-08,Th
87765.472,98705.29,2024-08-09,Fr
74627.042,74552.336,2024-08-10,Sa
80984.988,81489.516,2024-08-11,Su
107568.69,108006.695,2024-08-12,Mo
121564.035,111815.125,2024-08-13,Tu
109074.147,124114.07,2024-08-14,We
102495.016,118021.016,2024-08-15,Th
96396.254,101171.68,2024-08-16,Fr
77593.401,81147.234,2024-08-17,Sa
76226.527,89104.35,2024-08-18,Su
107194.368,108382.484,2024-08-19,Mo
105880.993,110881.28,2024-08-20,Tu
100561.351,112149.51,2024-08-21,We
95764.556,111556.64,2024-08-22,Th
90261.581,100508.79,2024-08-23,Fr
72680.273,78369.2,2024-08-24,Sa
86686.223,87273.41,2024-08-25,Su
123193.667,117205.68,2024-08-26,Mo
118007.556,122182.28,2024-08-27,Tu
115874.334,123918.59,2024-08-28,We
127384.813,120781.71,2024-08-29,Th
107292.573,113925.88,2024-08-30,Fr
86689.957,85958.69,2024-08-31,Sa
85494.766,91372.11,2024-09-01,Su
117422.765,120448.9,2024-09-02,Mo
125749.499,120401.24,2024-09-03,Tu
120643.793,127851.375,2024-09-04,We
