y_test,y_pred,date,day_of_week_char
290576.636,311719.97,2023-11-25,Sa
313250.073,332985.88,2023-11-26,Su
338293.901,359460.66,2023-11-27,Mo
377420.877,377017.12,2023-11-28,Tu
395673.261,409592.8,2023-11-29,We
392004.19,410771.28,2023-11-30,Th
379180.487,401457.12,2023-12-01,Fr
366708.24,377273.22,2023-12-02,Sa
370272.783,404840.44,2023-12-03,Su
433817.482,444993.44,2023-12-04,Mo
419237.392,441374.44,2023-12-05,Tu
405861.207,424234.88,2023-12-06,We
396702.119,426984.84,2023-12-07,Th
365010.837,401647.34,2023-12-08,Fr
326781.975,349934.16,2023-12-09,Sa
318931.461,317580.25,2023-12-10,Su
323981.903,326705.22,2023-12-11,Mo
329533.191,330895.9,2023-12-12,Tu
323922.763,341966.78,2023-12-13,We
326937.781,335905.06,2023-12-14,Th
306619.553,343236.8,2023-12-15,Fr
274208.809,294756.28,2023-12-16,Sa
283194.081,287458.56,2023-12-17,Su
310072.445,316661.06,2023-12-18,Mo
302823.456,319474.53,2023-12-19,Tu
301953.574,318262.6,2023-12-20,We
287336.384,304616.3,2023-12-21,Th
288377.652,308788.5,2023-12-22,Fr
276478.893,288008.06,2023-12-23,Sa
237292.998,252867.61,2023-12-24,Su
213031.878,222085.03,2023-12-25,Mo
220299.037,231045.17,2023-12-26,Tu
244351.972,252351.97,2023-12-27,We
245754.337,240279.28,2023-12-28,Th
229965.275,232284.97,2023-12-29,Fr
225938.941,227263.08,2023-12-30,Sa
244595.789,248418.58,2023-12-31,Su
255349.674,273397.66,2024-01-01,Mo
296559.94,278351.56,2024-01-02,Tu
273834.61,279465.44,2024-01-03,We
299354.333,290632.94,2024-01-04,Th
311725.444,304052.44,2024-01-05,Fr
279093.091,306501.16,2024-01-06,Sa
357026.634,343814.78,2024-01-07,Su
475666.565,450924.8,2024-01-08,Mo
500724.043,514737.16,2024-01-09,Tu
491002.924,519979.4,2024-01-10,We
474758.022,490154.12,2024-01-11,Th
427178.007,469546.88,2024-01-12,Fr
364585.664,394655.84,2024-01-13,Sa
363723.657,389019.28,2024-01-14,Su
400515.29,422303.84,2024-01-15,Mo
425198.019,428517.53,2024-01-16,Tu
426455.543,432476.12,2024-01-17,We
409311.994,434849.75,2024-01-18,Th
413869.886,432505.4,2024-01-19,Fr
370963.623,392601.12,2024-01-20,Sa
382681.395,396598.4,2024-01-21,Su
406712.419,402321.66,2024-01-22,Mo
355083.632,391646.22,2024-01-23,Tu
316968.892,331222.44,2024-01-24,We
334392.472,335636.03,2024-01-25,Th
306113.136,325364.03,2024-01-26,Fr
292608.318,305567.12,2024-01-27,Sa
314237.608,315935.25,2024-01-28,Su
375693.801,362295.78,2024-01-29,Mo
374908.697,382452.66,2024-01-30,Tu
373180.647,370225.34,2024-01-31,We
355267.213,367667.6,2024-02-01,Th
308676.266,336674.47,2024-02-02,Fr
255210.764,264157.56,2024-02-03,Sa
253599.105,261277.42,2024-02-04,Su
267112.145,290119.72,2024-02-05,Mo
276911.095,289882.94,2024-02-06,Tu
313731.446,303735.44,2024-02-07,We
318511.931,304592.66,2024-02-08,Th
249770.77,281774.8,2024-02-09,Fr
210919.688,212487.27,2024-02-10,Sa
232651.324,238031.34,2024-02-11,Su
260781.673,282950.4,2024-02-12,Mo
283555.605,291229.0,2024-02-13,Tu
279676.645,278985.72,2024-02-14,We
257527.092,270670.97,2024-02-15,Th
236255.27,240005.05,2024-02-16,Fr
220343.186,229748.11,2024-02-17,Sa
229464.014,235633.92,2024-02-18,Su
265470.303,282017.4,2024-02-19,Mo
265866.359,280299.1,2024-02-20,Tu
263094.466,274372.5,2024-02-21,We
261250.23,266481.22,2024-02-22,Th
258624.102,262304.8,2024-02-23,Fr
231394.538,239680.6,2024-02-24,Sa
250480.727,249309.3,2024-02-25,Su
273896.773,295956.28,2024-02-26,Mo
273665.707,269866.75,2024-02-27,Tu
276552.811,289204.03,2024-02-28,We
266621.02,272206.94,2024-02-29,Th
255892.825,245219.0,2024-03-01,Fr
206156.757,230388.22,2024-03-02,Sa
213381.668,225172.81,2024-03-03,Su
227799.58,249412.58,2024-03-04,Mo
261200.001,266821.88,2024-03-05,Tu
270183.556,278467.28,2024-03-06,We
300231.891,306676.66,2024-03-07,Th
276131.962,293450.94,2024-03-08,Fr
236713.702,247892.67,2024-03-09,Sa
222447.451,223029.22,2024-03-10,Su
228086.577,250759.39,2024-03-11,Mo
263202.151,260263.06,2024-03-12,Tu
258514.206,256966.73,2024-03-13,We
243609.571,254716.73,2024-03-14,Th
198723.383,215458.97,2024-03-15,Fr
185147.491,201097.98,2024-03-16,Sa
217506.219,226369.92,2024-03-17,Su
293378.765,270956.0,2024-03-18,Mo
288283.334,320171.38,2024-03-19,Tu
267849.385,279742.75,2024-03-20,We
228557.891,247946.17,2024-03-21,Th
211967.929,215798.33,2024-03-22,Fr
191975.085,210240.94,2024-03-23,Sa
227040.032,236461.08,2024-03-24,Su
278478.032,271245.75,2024-03-25,Mo
232768.751,248895.92,2024-03-26,Tu
213601.159,212844.75,2024-03-27,We
203537.495,238859.81,2024-03-28,Th
160085.53,169704.0,2024-03-29,Fr
127506.085,123019.766,2024-03-30,Sa
122344.968,125736.37,2024-03-31,Su
142687.252,140410.66,2024-04-01,Mo
187597.198,168303.95,2024-04-02,Tu
195313.963,190209.17,2024-04-03,We
175038.406,193475.81,2024-04-04,Th
145212.257,155817.19,2024-04-05,Fr
107138.776,113751.57,2024-04-06,Sa
110431.913,103681.73,2024-04-07,Su
131672.831,136551.97,2024-04-08,Mo
117185.662,132655.08,2024-04-09,Tu
158517.396,156020.64,2024-04-10,We
153348.407,157122.98,2024-04-11,Th
133688.874,139829.39,2024-04-12,Fr
98784.2,100005.0,2024-04-13,Sa
112129.441,106624.08,2024-04-14,Su
150107.542,156663.86,2024-04-15,Mo
189826.205,191961.27,2024-04-16,Tu
214472.916,232417.92,2024-04-17,We
224500.123,232279.81,2024-04-18,Th
213941.04,230497.17,2024-04-19,Fr
204001.372,226689.1,2024-04-20,Sa
223211.407,231763.72,2024-04-21,Su
275791.64,271190.9,2024-04-22,Mo
265744.265,282470.25,2024-04-23,Tu
264176.26,288244.47,2024-04-24,We
250342.148,273753.3,2024-04-25,Th
202236.756,216477.78,2024-04-26,Fr
133918.293,157798.94,2024-04-27,Sa
124356.255,124047.0,2024-04-28,Su
139134.675,140568.64,2024-04-29,Mo
119816.814,137546.33,2024-04-30,Tu
102063.332,115333.17,2024-05-01,We
110804.644,115800.79,2024-05-02,Th
113309.657,113688.445,2024-05-03,Fr
93828.262,91502.13,2024-05-04,Sa
99076.675,98256.875,2024-05-05,Su
