y_test,y_pred,date,day_of_week_char
290576.636,309727.38,2023-11-25,Sa
313250.073,330763.38,2023-11-26,Su
338293.901,358046.25,2023-11-27,Mo
377420.877,377032.66,2023-11-28,Tu
395673.261,409139.2,2023-11-29,We
392004.19,407755.8,2023-11-30,Th
379180.487,392047.97,2023-12-01,Fr
366708.24,374073.12,2023-12-02,Sa
370272.783,405324.03,2023-12-03,Su
433817.482,440604.78,2023-12-04,Mo
419237.392,441386.34,2023-12-05,Tu
405861.207,422161.34,2023-12-06,We
396702.119,424262.66,2023-12-07,Th
365010.837,397434.03,2023-12-08,Fr
326781.975,350847.1,2023-12-09,Sa
318931.461,315613.78,2023-12-10,Su
323981.903,325696.94,2023-12-11,Mo
329533.191,322148.4,2023-12-12,Tu
323922.763,339135.7,2023-12-13,We
326937.781,336813.3,2023-12-14,Th
306619.553,346844.6,2023-12-15,Fr
274208.809,293382.7,2023-12-16,Sa
283194.081,287395.8,2023-12-17,Su
310072.445,312710.28,2023-12-18,Mo
302823.456,321202.0,2023-12-19,Tu
301953.574,317235.06,2023-12-20,We
287336.384,312884.44,2023-12-21,Th
288377.652,303386.9,2023-12-22,Fr
276478.893,283630.22,2023-12-23,Sa
237292.998,244245.08,2023-12-24,Su
213031.878,218549.6,2023-12-25,Mo
220299.037,235421.52,2023-12-26,Tu
244351.972,254470.36,2023-12-27,We
245754.337,236525.12,2023-12-28,Th
229965.275,222810.0,2023-12-29,Fr
225938.941,226774.2,2023-12-30,Sa
244595.789,245965.06,2023-12-31,Su
255349.674,265773.12,2024-01-01,Mo
296559.94,280111.28,2024-01-02,Tu
273834.61,272469.62,2024-01-03,We
299354.333,288676.66,2024-01-04,Th
311725.444,305126.88,2024-01-05,Fr
279093.091,306998.7,2024-01-06,Sa
357026.634,351307.1,2024-01-07,Su
475666.565,455423.47,2024-01-08,Mo
500724.043,516469.06,2024-01-09,Tu
491002.924,520876.2,2024-01-10,We
474758.022,487153.47,2024-01-11,Th
427178.007,469084.84,2024-01-12,Fr
364585.664,392290.56,2024-01-13,Sa
363723.657,390963.97,2024-01-14,Su
400515.29,420220.6,2024-01-15,Mo
425198.019,424842.75,2024-01-16,Tu
426455.543,429514.3,2024-01-17,We
409311.994,428914.62,2024-01-18,Th
413869.886,435148.0,2024-01-19,Fr
370963.623,388708.94,2024-01-20,Sa
382681.395,392535.9,2024-01-21,Su
406712.419,404189.62,2024-01-22,Mo
355083.632,387165.38,2024-01-23,Tu
316968.892,330196.4,2024-01-24,We
334392.472,332564.78,2024-01-25,Th
306113.136,319350.44,2024-01-26,Fr
292608.318,300898.2,2024-01-27,Sa
314237.608,310802.9,2024-01-28,Su
375693.801,361265.28,2024-01-29,Mo
374908.697,381348.9,2024-01-30,Tu
373180.647,361823.62,2024-01-31,We
355267.213,365809.4,2024-02-01,Th
308676.266,335336.28,2024-02-02,Fr
255210.764,261292.47,2024-02-03,Sa
253599.105,264949.8,2024-02-04,Su
267112.145,289881.0,2024-02-05,Mo
276911.095,290505.03,2024-02-06,Tu
313731.446,305901.3,2024-02-07,We
318511.931,304873.9,2024-02-08,Th
249770.77,278415.28,2024-02-09,Fr
210919.688,209839.03,2024-02-10,Sa
232651.324,238451.92,2024-02-11,Su
260781.673,278906.56,2024-02-12,Mo
283555.605,284412.03,2024-02-13,Tu
279676.645,275647.5,2024-02-14,We
257527.092,267841.97,2024-02-15,Th
236255.27,236404.14,2024-02-16,Fr
220343.186,224232.1,2024-02-17,Sa
229464.014,229067.98,2024-02-18,Su
265470.303,279398.8,2024-02-19,Mo
265866.359,278377.1,2024-02-20,Tu
263094.466,269974.6,2024-02-21,We
261250.23,266126.84,2024-02-22,Th
258624.102,261693.28,2024-02-23,Fr
231394.538,238396.25,2024-02-24,Sa
250480.727,248895.12,2024-02-25,Su
273896.773,298129.66,2024-02-26,Mo
273665.707,271850.9,2024-02-27,Tu
276552.811,293023.12,2024-02-28,We
266621.02,274092.5,2024-02-29,Th
255892.825,243972.1,2024-03-01,Fr
206156.757,226888.73,2024-03-02,Sa
213381.668,223967.33,2024-03-03,Su
227799.58,246340.4,2024-03-04,Mo
261200.001,267598.06,2024-03-05,Tu
270183.556,275061.78,2024-03-06,We
300231.891,304406.25,2024-03-07,Th
276131.962,289427.5,2024-03-08,Fr
236713.702,245117.19,2024-03-09,Sa
222447.451,226503.38,2024-03-10,Su
228086.577,253597.3,2024-03-11,Mo
263202.151,262104.67,2024-03-12,Tu
258514.206,254208.3,2024-03-13,We
243609.571,253891.0,2024-03-14,Th
198723.383,213175.2,2024-03-15,Fr
185147.491,199521.58,2024-03-16,Sa
217506.219,226747.97,2024-03-17,Su
293378.765,274492.34,2024-03-18,Mo
288283.334,307806.22,2024-03-19,Tu
267849.385,281322.16,2024-03-20,We
228557.891,248967.02,2024-03-21,Th
211967.929,217200.0,2024-03-22,Fr
191975.085,207093.7,2024-03-23,Sa
227040.032,236834.05,2024-03-24,Su
278478.032,272363.53,2024-03-25,Mo
232768.751,243833.38,2024-03-26,Tu
213601.159,218114.88,2024-03-27,We
203537.495,241654.47,2024-03-28,Th
160085.53,170545.64,2024-03-29,Fr
127506.085,125375.21,2024-03-30,Sa
122344.968,133426.78,2024-03-31,Su
142687.252,146458.02,2024-04-01,Mo
187597.198,167739.06,2024-04-02,Tu
195313.963,188297.03,2024-04-03,We
175038.406,194380.88,2024-04-04,Th
145212.257,157893.95,2024-04-05,Fr
107138.776,113092.85,2024-04-06,Sa
110431.913,102985.75,2024-04-07,Su
131672.831,134716.67,2024-04-08,Mo
117185.662,133822.8,2024-04-09,Tu
158517.396,156125.83,2024-04-10,We
153348.407,150984.06,2024-04-11,Th
133688.874,135986.66,2024-04-12,Fr
98784.2,101972.336,2024-04-13,Sa
112129.441,106810.2,2024-04-14,Su
150107.542,151166.0,2024-04-15,Mo
189826.205,192956.97,2024-04-16,Tu
214472.916,237745.1,2024-04-17,We
224500.123,232267.06,2024-04-18,Th
213941.04,225814.55,2024-04-19,Fr
204001.372,229323.4,2024-04-20,Sa
223211.407,231369.38,2024-04-21,Su
275791.64,276839.3,2024-04-22,Mo
265744.265,280928.38,2024-04-23,Tu
264176.26,289093.12,2024-04-24,We
250342.148,275203.34,2024-04-25,Th
202236.756,219465.02,2024-04-26,Fr
133918.293,154132.02,2024-04-27,Sa
124356.255,125833.38,2024-04-28,Su
139134.675,139566.72,2024-04-29,Mo
119816.814,136531.84,2024-04-30,Tu
102063.332,115904.08,2024-05-01,We
110804.644,116625.305,2024-05-02,Th
113309.657,114517.17,2024-05-03,Fr
93828.262,95654.81,2024-05-04,Sa
99076.675,99017.5,2024-05-05,Su
124237.642,131487.08,2024-05-06,Mo
146852.905,141151.73,2024-05-07,Tu
138242.389,152974.88,2024-05-08,We
131993.284,137487.89,2024-05-09,Th
121966.047,119074.875,2024-05-10,Fr
93746.348,100997.45,2024-05-11,Sa
98565.05,102959.65,2024-05-12,Su
113825.729,128067.484,2024-05-13,Mo
112015.691,119012.914,2024-05-14,Tu
111800.78,123082.5,2024-05-15,We
113071.323,125875.9,2024-05-16,Th
117340.263,115909.6,2024-05-17,Fr
109125.025,91966.7,2024-05-18,Sa
108801.553,109043.836,2024-05-19,Su
123645.728,136417.88,2024-05-20,Mo
