y_test,y_pred,date,day_of_week_char
290576.636,314905.7,2023-11-25,Sa
313250.073,339760.38,2023-11-26,Su
338293.901,362681.62,2023-11-27,Mo
377420.877,384849.9,2023-11-28,Tu
395673.261,412837.97,2023-11-29,We
392004.19,409309.62,2023-11-30,Th
379180.487,399539.25,2023-12-01,Fr
366708.24,375044.0,2023-12-02,Sa
370272.783,406896.16,2023-12-03,Su
433817.482,446809.2,2023-12-04,Mo
419237.392,442327.16,2023-12-05,Tu
405861.207,422023.22,2023-12-06,We
396702.119,423896.0,2023-12-07,Th
365010.837,396576.56,2023-12-08,Fr
326781.975,344107.84,2023-12-09,Sa
318931.461,318439.3,2023-12-10,Su
323981.903,333191.94,2023-12-11,Mo
329533.191,326262.22,2023-12-12,Tu
323922.763,337526.62,2023-12-13,We
326937.781,334960.5,2023-12-14,Th
306619.553,342139.25,2023-12-15,Fr
274208.809,292109.4,2023-12-16,Sa
283194.081,289593.9,2023-12-17,Su
310072.445,319699.88,2023-12-18,Mo
302823.456,315051.6,2023-12-19,Tu
301953.574,318203.44,2023-12-20,We
287336.384,304841.97,2023-12-21,Th
288377.652,308451.6,2023-12-22,Fr
276478.893,282430.44,2023-12-23,Sa
237292.998,250151.9,2023-12-24,Su
213031.878,220410.14,2023-12-25,Mo
220299.037,228011.47,2023-12-26,Tu
244351.972,250113.19,2023-12-27,We
245754.337,241370.83,2023-12-28,Th
229965.275,224967.8,2023-12-29,Fr
225938.941,221399.06,2023-12-30,Sa
244595.789,248320.19,2023-12-31,Su
255349.674,271848.6,2024-01-01,Mo
296559.94,284900.62,2024-01-02,Tu
273834.61,275877.66,2024-01-03,We
299354.333,292137.7,2024-01-04,Th
311725.444,307491.34,2024-01-05,Fr
279093.091,307652.06,2024-01-06,Sa
357026.634,355827.84,2024-01-07,Su
475666.565,452683.97,2024-01-08,Mo
500724.043,520420.75,2024-01-09,Tu
491002.924,516065.7,2024-01-10,We
474758.022,485486.4,2024-01-11,Th
427178.007,467962.62,2024-01-12,Fr
364585.664,395270.06,2024-01-13,Sa
363723.657,386913.12,2024-01-14,Su
400515.29,417983.97,2024-01-15,Mo
425198.019,428661.6,2024-01-16,Tu
426455.543,426541.0,2024-01-17,We
409311.994,433768.66,2024-01-18,Th
413869.886,430646.8,2024-01-19,Fr
370963.623,384784.12,2024-01-20,Sa
382681.395,391276.5,2024-01-21,Su
406712.419,404803.7,2024-01-22,Mo
355083.632,391702.88,2024-01-23,Tu
316968.892,331117.12,2024-01-24,We
334392.472,336662.62,2024-01-25,Th
306113.136,322510.47,2024-01-26,Fr
292608.318,306421.12,2024-01-27,Sa
314237.608,318686.16,2024-01-28,Su
375693.801,360862.5,2024-01-29,Mo
374908.697,383434.8,2024-01-30,Tu
373180.647,374369.03,2024-01-31,We
355267.213,365870.88,2024-02-01,Th
308676.266,331157.97,2024-02-02,Fr
255210.764,262415.16,2024-02-03,Sa
253599.105,258344.34,2024-02-04,Su
267112.145,286823.56,2024-02-05,Mo
276911.095,286930.0,2024-02-06,Tu
313731.446,304575.53,2024-02-07,We
318511.931,307552.28,2024-02-08,Th
249770.77,277084.6,2024-02-09,Fr
