y_test,y_pred,date,day_of_week_char
290576.636,313200.25,2023-11-25,Sa
313250.073,334120.22,2023-11-26,Su
338293.901,362038.0,2023-11-27,Mo
377420.877,383747.9,2023-11-28,Tu
395673.261,409153.38,2023-11-29,We
392004.19,404260.75,2023-11-30,Th
379180.487,398308.12,2023-12-01,Fr
366708.24,374302.06,2023-12-02,Sa
370272.783,406617.25,2023-12-03,Su
433817.482,447289.94,2023-12-04,Mo
419237.392,442581.88,2023-12-05,Tu
405861.207,423758.34,2023-12-06,We
396702.119,422073.2,2023-12-07,Th
365010.837,394433.9,2023-12-08,Fr
326781.975,339872.03,2023-12-09,Sa
318931.461,313617.88,2023-12-10,Su
323981.903,331267.25,2023-12-11,Mo
329533.191,330795.94,2023-12-12,Tu
323922.763,340112.88,2023-12-13,We
326937.781,338987.12,2023-12-14,Th
306619.553,345826.72,2023-12-15,Fr
274208.809,290229.94,2023-12-16,Sa
283194.081,286724.25,2023-12-17,Su
310072.445,318068.16,2023-12-18,Mo
302823.456,313742.5,2023-12-19,Tu
301953.574,319072.06,2023-12-20,We
287336.384,301025.66,2023-12-21,Th
288377.652,306619.16,2023-12-22,Fr
276478.893,280624.06,2023-12-23,Sa
237292.998,244073.05,2023-12-24,Su
213031.878,218949.02,2023-12-25,Mo
220299.037,231111.6,2023-12-26,Tu
244351.972,249023.98,2023-12-27,We
245754.337,242145.36,2023-12-28,Th
229965.275,228295.36,2023-12-29,Fr
225938.941,223362.28,2023-12-30,Sa
244595.789,250875.31,2023-12-31,Su
255349.674,265998.03,2024-01-01,Mo
296559.94,287086.47,2024-01-02,Tu
273834.61,276231.97,2024-01-03,We
299354.333,290147.44,2024-01-04,Th
311725.444,308270.53,2024-01-05,Fr
279093.091,304945.16,2024-01-06,Sa
357026.634,353248.22,2024-01-07,Su
475666.565,458264.28,2024-01-08,Mo
500724.043,516715.72,2024-01-09,Tu
491002.924,513643.7,2024-01-10,We
474758.022,484147.88,2024-01-11,Th
427178.007,466606.16,2024-01-12,Fr
364585.664,392677.34,2024-01-13,Sa
363723.657,386987.28,2024-01-14,Su
400515.29,416119.28,2024-01-15,Mo
425198.019,428850.03,2024-01-16,Tu
426455.543,427324.34,2024-01-17,We
409311.994,431323.75,2024-01-18,Th
413869.886,432251.1,2024-01-19,Fr
370963.623,387822.4,2024-01-20,Sa
382681.395,388747.88,2024-01-21,Su
406712.419,402113.0,2024-01-22,Mo
355083.632,392190.1,2024-01-23,Tu
316968.892,328477.4,2024-01-24,We
334392.472,335177.53,2024-01-25,Th
306113.136,325038.44,2024-01-26,Fr
292608.318,303067.94,2024-01-27,Sa
314237.608,316894.7,2024-01-28,Su
375693.801,360689.12,2024-01-29,Mo
374908.697,382635.78,2024-01-30,Tu
373180.647,374200.0,2024-01-31,We
355267.213,365330.78,2024-02-01,Th
308676.266,333049.53,2024-02-02,Fr
255210.764,263458.1,2024-02-03,Sa
253599.105,261164.62,2024-02-04,Su
267112.145,285208.66,2024-02-05,Mo
276911.095,288239.84,2024-02-06,Tu
313731.446,301262.62,2024-02-07,We
318511.931,307602.44,2024-02-08,Th
249770.77,277335.2,2024-02-09,Fr
210919.688,213847.17,2024-02-10,Sa
232651.324,242695.55,2024-02-11,Su
260781.673,283376.5,2024-02-12,Mo
283555.605,286473.7,2024-02-13,Tu
279676.645,280430.16,2024-02-14,We
257527.092,271534.25,2024-02-15,Th
236255.27,242428.6,2024-02-16,Fr
220343.186,227055.19,2024-02-17,Sa
229464.014,235939.83,2024-02-18,Su
265470.303,282425.97,2024-02-19,Mo
265866.359,277082.22,2024-02-20,Tu
263094.466,273196.72,2024-02-21,We
261250.23,267821.66,2024-02-22,Th
258624.102,262668.2,2024-02-23,Fr
231394.538,238500.31,2024-02-24,Sa
250480.727,254003.5,2024-02-25,Su
273896.773,300273.3,2024-02-26,Mo
273665.707,269739.94,2024-02-27,Tu
276552.811,290345.03,2024-02-28,We
