y_test,y_pred,date,day_of_week_char
85494.766,93378.44,2024-09-01,Su
117422.765,110908.01,2024-09-02,Mo
125749.499,123253.04,2024-09-03,Tu
120643.793,131105.08,2024-09-04,We
100635.943,124647.234,2024-09-05,Th
105889.875,110411.266,2024-09-06,Fr
87622.445,85536.35,2024-09-07,Sa
91291.576,89209.31,2024-09-08,Su
127876.935,139042.58,2024-09-09,Mo
108179.99,128390.266,2024-09-10,Tu
107425.449,121625.63,2024-09-11,We
127116.066,142069.3,2024-09-12,Th
127498.018,117286.375,2024-09-13,Fr
117662.835,118561.95,2024-09-14,Sa
129232.106,139863.44,2024-09-15,Su
164316.251,164638.16,2024-09-16,Mo
142838.976,163900.17,2024-09-17,Tu
127658.071,134094.44,2024-09-18,We
135875.566,134221.0,2024-09-19,Th
120128.282,131089.61,2024-09-20,Fr
101550.969,103863.12,2024-09-21,Sa
113383.346,104797.555,2024-09-22,Su
139459.798,135728.95,2024-09-23,Mo
133318.063,150560.78,2024-09-24,Tu
125767.735,129541.82,2024-09-25,We
127402.512,125137.64,2024-09-26,Th
134220.993,128962.9,2024-09-27,Fr
120162.178,123491.99,2024-09-28,Sa
141363.482,168579.23,2024-09-29,Su
175831.817,179031.6,2024-09-30,Mo
186798.529,189279.94,2024-10-01,Tu
203017.585,203283.78,2024-10-02,We
201416.8,209602.48,2024-10-03,Th
207305.396,213492.58,2024-10-04,Fr
171522.449,193988.05,2024-10-05,Sa
177729.768,194039.84,2024-10-06,Su
203991.034,199543.0,2024-10-07,Mo
192372.835,182456.84,2024-10-08,Tu
177566.651,190749.73,2024-10-09,We
165295.302,190107.66,2024-10-10,Th
182627.003,180179.08,2024-10-11,Fr
166971.14,180969.17,2024-10-12,Sa
179667.193,185429.7,2024-10-13,Su
222993.784,225381.6,2024-10-14,Mo
228254.902,242857.03,2024-10-15,Tu
215828.374,244722.75,2024-10-16,We
207559.309,216514.08,2024-10-17,Th
185717.627,188842.4,2024-10-18,Fr
167041.234,174815.22,2024-10-19,Sa
178825.221,176144.48,2024-10-20,Su
216222.622,211141.6,2024-10-21,Mo
221348.341,225171.55,2024-10-22,Tu
226716.312,230506.92,2024-10-23,We
216918.574,224683.86,2024-10-24,Th
203137.063,207293.36,2024-10-25,Fr
171769.017,155708.66,2024-10-26,Sa
165290.6,167925.78,2024-10-27,Su
184101.007,207297.08,2024-10-28,Mo
216530.88,195994.34,2024-10-29,Tu
218012.723,231375.97,2024-10-30,We
200640.543,235175.81,2024-10-31,Th
201118.457,205066.72,2024-11-01,Fr
213025.612,211969.33,2024-11-02,Sa
237447.857,206758.1,2024-11-03,Su
302801.993,275548.44,2024-11-04,Mo
304626.73,323487.16,2024-11-05,Tu
313316.693,313593.9,2024-11-06,We
304297.195,328097.6,2024-11-07,Th
296577.739,313117.8,2024-11-08,Fr
267007.647,284947.78,2024-11-09,Sa
297896.826,302477.75,2024-11-10,Su
359013.03,359267.84,2024-11-11,Mo
379653.07,383650.84,2024-11-12,Tu
369510.06,389907.12,2024-11-13,We
347298.446,354694.78,2024-11-14,Th
307179.265,314787.4,2024-11-15,Fr
255629.284,280964.94,2024-11-16,Sa
293519.917,263438.47,2024-11-17,Su
339814.73,349159.66,2024-11-18,Mo
321157.711,325449.97,2024-11-19,Tu
352139.516,361827.3,2024-11-20,We
368178.297,365509.8,2024-11-21,Th
365830.393,386933.47,2024-11-22,Fr
314902.775,349955.22,2024-11-23,Sa
315342.541,302152.34,2024-11-24,Su
334883.775,364407.6,2024-11-25,Mo
