model,library,data,mae,r2,elapsed_time
RandomForest,DEAP,Diabetes,42.68523359942846,0.47615541212882795,144.30352020263672
GradientBoosting,DEAP,Diabetes,41.25789502679406,0.4779551710994734,23.168874502182007
XGBoost,DEAP,Diabetes,41.262887247492756,0.4811426834332194,10.68829607963562
RandomForest,DEAP,California Housing,0.36555507768740236,0.7745818311146635,730.6622233390808
GradientBoosting,DEAP,California Housing,0.30529726650321115,0.8303481864970444,612.9054841995239
XGBoost,DEAP,California Housing,0.2936840184934541,0.8424273787013571,242.91642928123474
RandomForest,DEAP,Wine,0.09427540204678363,0.9009121017032256,10934.053097963333
GradientBoosting,DEAP,Wine,0.09041960382286006,0.9440951815688039,27.37951636314392
XGBoost,DEAP,Wine,0.1321088471788951,0.6882537591954752,12.399057149887085
RandomForest,DEAP,Diabetes,42.69002125497647,0.47624742624623784,135.47289967536926
GradientBoosting,DEAP,Diabetes,41.50697620928502,0.4731414391425951,41.72893714904785
XGBoost,DEAP,Diabetes,41.33359823334083,0.4737107099049289,17.19594097137451
RandomForest,DEAP,California Housing,0.3656674490159323,0.77457453369681,707.198365688324
GradientBoosting,DEAP,California Housing,0.29770225085042534,0.8401254732945549,795.1609144210815
XGBoost,DEAP,California Housing,0.30416785793014,0.8362574490004205,82.68403363227844
RandomForest,DEAP,Wine,0.09575557790442134,0.8986742538383758,10988.660372495651
GradientBoosting,DEAP,Wine,0.11111111111111158,0.7142857142857141,7.601970672607422
XGBoost,DEAP,Wine,0.09743588208220899,0.9387023452324832,15.252012252807617
RandomForest,DEAP,Diabetes,42.72660732157555,0.4751965571437926,138.64203095436096
GradientBoosting,DEAP,Diabetes,41.42107570444988,0.4848729518237104,31.573517560958862
XGBoost,DEAP,Diabetes,41.493616511312766,0.4749760488842637,13.727632522583008
RandomForest,DEAP,California Housing,0.3541367904080056,0.7850574892786581,615.167243719101
GradientBoosting,DEAP,California Housing,0.30437242478709325,0.8378259837960547,672.8256151676178
XGBoost,DEAP,California Housing,0.29854834759148285,0.8398446254780669,144.15951943397522
RandomForest,DEAP,Wine,0.08611111111111111,0.9319047619047619,11.952342748641968
GradientBoosting,DEAP,Wine,0.09140305736744866,0.944365357063394,47.985132694244385
XGBoost,DEAP,Wine,0.11946510985338439,0.9265277096056443,22.75576138496399
RandomForest,DEAP,Diabetes,42.69002125497647,0.47624742624623784,145.10341715812683
GradientBoosting,DEAP,Diabetes,41.90950485214717,0.46535258187664996,10665.16666841507
XGBoost,DEAP,Diabetes,41.39572169271748,0.47301269327330187,23.569683074951172
RandomForest,DEAP,California Housing,0.36586787297477724,0.7746179633403861,745.6635293960571
